,source,target,spec2vec,matched_peaks,_merge,cosine
224,116,465,0.0,7.0,left_only,0.8163257824202843
225,118,263,0.0,19.0,left_only,0.9668732146587268
226,118,314,0.0,17.0,left_only,0.9738243702736389
227,118,406,0.0,13.0,left_only,0.91236515677018
228,118,530,0.0,10.0,left_only,0.9672565575421878
229,263,314,0.0,16.0,left_only,0.9775278009948758
230,263,406,0.0,12.0,left_only,0.8864112707826631
231,263,530,0.0,9.0,left_only,0.9345779702009915
232,263,553,0.0,8.0,left_only,0.740787673090312
233,314,406,0.0,13.0,left_only,0.8860505648190747
234,314,530,0.0,8.0,left_only,0.9439141194426284
235,406,530,0.0,8.0,left_only,0.880182892579288
236,127,289,0.0,9.0,left_only,0.7084963728184096
237,127,567,0.0,13.0,left_only,0.9330554246789613
238,289,567,0.0,12.0,left_only,0.8627593001669324
239,135,617,0.0,8.0,left_only,0.9657233615781381
240,143,257,0.0,9.0,left_only,0.7967714544548783
241,155,226,0.0,7.0,left_only,0.7037538136946823
242,226,499,0.0,24.0,left_only,0.790666826344191
243,168,453,0.0,11.0,left_only,0.7217593656549104
244,453,396,0.0,18.0,left_only,0.9597121464709345
245,169,317,0.0,12.0,left_only,0.7488942233836459
246,169,424,0.0,12.0,left_only,0.8525288001381747
247,424,615,0.0,7.0,left_only,0.7770534808352401
248,177,667,0.0,11.0,left_only,0.993458382682451
249,192,577,0.0,10.0,left_only,0.7804963394803132
250,198,280,0.0,8.0,left_only,0.923916417578592
251,198,373,0.0,9.0,left_only,0.9761148594338015
252,198,470,0.0,8.0,left_only,0.8365505329019935
253,198,655,0.0,7.0,left_only,0.9017885736444735
254,198,663,0.0,8.0,left_only,0.7364928558800268
255,198,677,0.9669726726542063,0.0,right_only,0.0
256,198,652,0.9649781884504942,0.0,right_only,0.0
257,198,671,0.9772031669229722,0.0,right_only,0.0
258,198,189,0.9763861000484639,0.0,right_only,0.0
259,198,547,0.9763706715521923,0.0,right_only,0.0
260,198,656,0.9733744363999512,0.0,right_only,0.0
261,198,586,0.9643778637293978,0.0,right_only,0.0
262,280,274,0.0,9.0,left_only,0.855749722665224
263,280,373,0.0,15.0,left_only,0.9808408960014801
